0,28767470|30678888|30190129|24847192|20111845,136052412459988962,t9_ch_smg_accurate_t9_ekia,0,27430388,112411147511809344,t9_ch_smg_accurate_t9_challenges,0,25964668,142803580414786441,t9_ch_weapon_smg_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,27902504,,,1,,,,,,,,,,,,,,,,,,
2,20446159,,,1,,,,,,,,,,,,,,,,,,
3,21871430,,,1,,,,,,,,,,,,,,,,,,
4,28989490,,,1,20177775|31567809|25604078|27966780|21073365,133373086555500168,t9_ch_smg_accurate_t9_headshots,1,,,,,,,,,,,,,,
5,24449465,,,1,,,,,,,,,,,,,,,,,,
6,19519345,,,2,,,,,,,,,,,,,,,,,,
7,29301638,,,2,,,,,,,,,,,,,,,,,,
8,25070404,,,2,,,,,,,,,,,,,,,,,,
9,24826208,,,2,21022900|24656216|24005536|21245692|33493540,85689312540160561,t9_ch_smg_accurate_t9_killstreak_5,2,,,,,,,,,,,,,,
10,20511159,,,2,,,,,,,,,,,,,,,,,,
11,24674353,,,3,,,,,,,,,,,,,,,,,,
12,19619813,,,3,,,,,,,,,,,,,,,,,,
13,22312171,,,3,,,,,,,,,,,,,,,,,,
14,26130025,,,3,,,,,,,,,,,,,,,,,,
15,27671122,,,3,,,,,,,,,,,,,,,,,,
16,20200695,,,4,,,,,,,,,,,,,,,,,,
17,18478187,,,4,,,,,,,,,,,,,,,,,,
18,31801969,,,4,,,,,,,,,,,,,,,,,,
19,31207196,,,4,29579070|24823186|31519454|20913032|31218633,141324686823965912,t9_ch_smg_accurate_t9_longshot_kill,4,,,,,,,,,,,,,,
20,18364677,,,4,,,,,,,,,,,,,,,,,,
21,28041237,,,5,,,,,,,,,,,,,,,,,,
22,23544037,,,5,,,,,,,,,,,,,,,,,,
23,23636247,,,5,,,,,,,,,,,,,,,,,,
24,19981046,,,5,,,,,,,,,,,,,,,,,,
25,24751560,,,5,,,,,,,,,,,,,,,,,,
26,25746264,,,6,,,,,,,,,,,,,,,,,,
27,28607826,,,6,,,,,,,,,,,,,,,,,,
28,26900003,,,6,,,,,,,,,,,,,,,,,,
29,26006885,,,6,19204345|31837777|26121094|30818463|21621937,132929264141302633,t9_ch_smg_accurate_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,21415525,,,6,,,,,,,,,,,,,,,,,,
31,29150311,,,7,,,,,,,,,,,,,,,,,,
32,28129790,,,7,,,,,,,,,,,,,,,,,,
33,25059709,,,7,,,,,,,,,,,,,,,,,,
34,28859240,,,7,,,,,,,,,,,,,,,,,,
35,29881956,,,7,,,,,,,,,,,,,,,,,,
36,27957058,,,8,,,,,,,,,,,,,,,,,,
37,20624997,,,8,,,,,,,,,,,,,,,,,,
38,32417653,,,8,,,,,,,,,,,,,,,,,,
39,23283174,,,8,27521226|22946679|20038084|18166069|21040363,135092564999579172,t9_ch_smg_accurate_t9_point_blank_kill,8,,,,,,,,,,,,,,
40,31478017,,,8,,,,,,,,,,,,,,,,,,
41,21777462,,,9,,,,,,,,,,,,,,,,,,
42,20203504,,,9,,,,,,,,,,,,,,,,,,
43,20027827,,,9,,,,,,,,,,,,,,,,,,
44,28958249,,,9,,,,,,,,,,,,,,,,,,
45,22696868,,,9,,,,,,,,,,,,,,,,,,
46,29776948,,,10,,,,,,,,,,,,,,,,,,
47,24960659,,,10,,,,,,,,,,,,,,,,,,
48,31434408,,,10,,,,,,,,,,,,,,,,,,
49,20156581,,,10,,,,,,,,,,,,,,,,,,
50,21323733,,,10,,,,,,,,,,,,,,,,,,
51,24455208,,,11,,,,,,,,,,,,,,,,,,
52,31864508,,,11,,,,,,,,,,,,,,,,,,
53,28752673,,,11,,,,,,,,,,,,,,,,,,
54,20138605,,,11,,,,,,,,,,,,,,,,,,
