Name,Secondary,FileSpec,
mount_enter_side_t9cannon_vestlight_plr,,,
mount_enter_top_t9cannon_vestlight_plr,,,
mount_exit_side_t9cannon_vestlight_plr,,,
mount_exit_top_t9cannon_vestlight_plr,,,
weap_sn_t9cannon_ads_down,,,
weap_sn_t9cannon_ads_up,,,
weap_t9cannon_dryfire_plr,,,
weap_t9cannon_dryfirst_plr,,,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_bang_plr,,weap_t9cannon_sup_plr_mech,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr,,weap_t9cannon_sup_bang_plr,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_atmo,,,
weap_t9cannon_sup_plr_lfe,,,
weap_t9cannon_sup_plr_lfe,,,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
weap_t9cannon_sup_plr_mech,,weap_t9cannon_sup_plr_lfe,
wfoly_plr_sm_uzulu_idle_active_01,,,
wfoly_plr_sm_uzulu_idle_active_02,,,
wfoly_plr_sm_uzulu_idle_active_03,,,
wfoly_plr_sm_uzulu_idle_active_04,,,
wfoly_sn_t9cannon_bolt_back,,,
wfoly_sn_t9cannon_bolt_back_empty_fast,,,
wfoly_sn_t9cannon_bolt_forward,,,
wfoly_sn_t9cannon_drop,,,
wfoly_sn_t9cannon_drop_quick,,,
wfoly_sn_t9cannon_grab,,,
wfoly_sn_t9cannon_inspect_01,,,
wfoly_sn_t9cannon_inspect_02,,,
wfoly_sn_t9cannon_inspect_03,,,
wfoly_sn_t9cannon_inspect_04,,,
wfoly_sn_t9cannon_inspect_05,,,
wfoly_sn_t9cannon_lower_fast,,,
wfoly_sn_t9cannon_mag_in,,,
wfoly_sn_t9cannon_mag_in_empty_fast,,,
wfoly_sn_t9cannon_mag_in_empty_fast_end,,,
wfoly_sn_t9cannon_mag_in_fast,,,
wfoly_sn_t9cannon_mag_out,,,
wfoly_sn_t9cannon_mag_out_fast,,,
wfoly_sn_t9cannon_mag_out_start,,,
wfoly_sn_t9cannon_mag_out_start_fast,,,
wfoly_sn_t9cannon_raise,,,
wfoly_sn_t9cannon_raise_quick,,,
wfoly_sn_t9cannon_reload_lower,,,
wfoly_sn_t9cannon_reload_raise,,,
