Name,Secondary,FileSpec,
weap_t9crossbow_dryfire_npc,,,
weap_t9crossbow_fire_npc,,weap_t9crossbow_fire_npc_mech,
weap_t9crossbow_fire_npc,,weap_t9crossbow_fire_npc_mech,
weap_t9crossbow_fire_npc,,weap_t9crossbow_fire_npc_mech,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_atmo,,,
weap_t9crossbow_fire_npc_dist,,weap_t9crossbow_fire_npc_dist_atmo,
weap_t9crossbow_fire_npc_dist,,weap_t9crossbow_fire_npc_dist_atmo,
weap_t9crossbow_fire_npc_dist,,weap_t9crossbow_fire_npc_dist_atmo,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_dist_atmo,,,
weap_t9crossbow_fire_npc_far,,weap_t9crossbow_fire_npc_far_atmo,
weap_t9crossbow_fire_npc_far_atmo,,,
weap_t9crossbow_fire_npc_far_atmo,,,
weap_t9crossbow_fire_npc_lfe,,,
weap_t9crossbow_fire_npc_mech,,weap_t9crossbow_fire_npc_lfe,
weap_t9crossbow_fire_npc_mech,,weap_t9crossbow_fire_npc_lfe,
weap_t9crossbow_fire_npc_mech,,weap_t9crossbow_fire_npc_lfe,
weap_t9crossbow_fire_npc_med,,weap_t9crossbow_fire_npc_med_atmo,
weap_t9crossbow_fire_npc_med,,weap_t9crossbow_fire_npc_med_atmo,
weap_t9crossbow_fire_npc_med,,weap_t9crossbow_fire_npc_med_atmo,
weap_t9crossbow_fire_npc_med_atmo,,,
weap_t9crossbow_fire_npc_med_atmo,,,
weap_t9crossbow_fire_npc_med_atmo,,,
weap_t9crossbow_fire_npc_med_atmo,,,
weap_t9crossbow_fire_npc_med_atmo,,,
weap_t9crossbow_fire_npc_med_atmo,,,
wfoly_npc_sn_t9crossbow_drop,,,
wfoly_npc_sn_t9crossbow_drop_quick,,,
wfoly_npc_sn_t9crossbow_first_raise_end,,,
wfoly_npc_sn_t9crossbow_first_raise_load_arrow,,,
wfoly_npc_sn_t9crossbow_first_raise_start,,,
wfoly_npc_sn_t9crossbow_inspect_01,,,
wfoly_npc_sn_t9crossbow_inspect_02,,,
wfoly_npc_sn_t9crossbow_inspect_03,,,
wfoly_npc_sn_t9crossbow_raise,,,
wfoly_npc_sn_t9crossbow_raise_quick,,,
wfoly_npc_sn_t9crossbow_reload_end,,,
wfoly_npc_sn_t9crossbow_reload_load_arrow,,,
wfoly_npc_sn_t9crossbow_reload_pull_string,,,
wfoly_npc_sn_t9crossbow_reload_ready_arrow,,,
wfoly_npc_sn_t9crossbow_reload_start,,,
